"peak_number","name","formula","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",200.09498,201.10226,9.393,"mz_cloud",2447409.34614418,"glen valley (reclamation) surface water"
5528,"1,3,4,10-Tetrahydro-9(2H)-acridinone","C13 H13 N O",199.09974,200.10702,7.763,"mz_cloud",1344780.89260452,"francistown wwtp surface water"
8106,"1,3,8-trimethyl-5-morpholino-1,2,3,4,7,8-hexahydropyrido[2,3-d]pyrimidine-2,4,7-trione","C14 H18 N4 O4",306.1331,307.14038,9.141,"mz_cloud",344411.16982882,"palapye wwtp surface water"
8106,"1,3,8-trimethyl-5-morpholino-1,2,3,4,7,8-hexahydropyrido[2,3-d]pyrimidine-2,4,7-trione","C14 H18 N4 O4",306.1331,307.14038,9.141,"mz_cloud",732702.84811215,"francistown wwtp surface water"
3325,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",201.11536,202.12264,16.145,"mz_cloud",1873848.42274849,"palapye wwtp (eff) waste water"
2032,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",201.11536,202.12263,9.476,"mz_cloud",588387.809077563,"palapye wwtp surface water"
3325,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",201.11536,202.12264,16.145,"mz_cloud",694751.874826781,"kasane wwtp (main) surface water"
2032,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",201.11536,202.12263,9.476,"mz_cloud",4036184.01515838,"maun wwtp (main) waste water"
2158,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",201.11538,202.12266,7.467,"mz_cloud",1711929.80554322,"glen valley (reclamation) surface water"
2032,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",201.11536,202.12263,9.476,"mz_cloud",1689565.80751913,"glen valley (recreational) surface water"
5416,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",138.07941,139.08669,4.424,"mz_cloud",278114.367630237,"lecheng spring surface water"
5416,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",138.07941,139.08669,4.424,"mz_cloud",1570763.97329795,"palapye wwtp surface water"
5416,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",138.07941,139.08669,4.424,"mz_cloud",1297991.19390529,"kasane wwtp (overflow) surface water"
5957,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",138.07941,139.08669,7.888,"mz_cloud",1430669.61451043,"maun beach (after) surface water"
5416,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",138.07941,139.08669,4.424,"mz_cloud",1370274.01652883,"maun wwtp (main) waste water"
5416,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",138.07941,139.08669,4.424,"mz_cloud",852894.162114074,"glen valley (reclamation) surface water"
5655,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",138.07942,139.08669,4.739,"mz_cloud",510732.415494712,"glen valley (recreational) surface water"
3321,"1,5-Ditetrahydro-1H-pyrrol-1-ylpentane-1,5-dione","C13 H22 N2 O2",238.16822,239.1755,9.458,"mz_cloud",2774919.15659891,"maun wwtp (main) waste water"
6759,"1,8-Diazabicyclo [5.4.0]undec-7-ene","C9 H16 N2",152.13142,153.1387,10.615,"mz_cloud",1035910.21370119,"palapye wwtp (eff) waste water"
6759,"1,8-Diazabicyclo [5.4.0]undec-7-ene","C9 H16 N2",152.13142,153.1387,10.615,"mz_cloud",846102.926006238,"palapye wwtp surface water"
6759,"1,8-Diazabicyclo [5.4.0]undec-7-ene","C9 H16 N2",152.13142,153.1387,10.615,"mz_cloud",273095.946363887,"kasane wwtp (main) surface water"
6759,"1,8-Diazabicyclo [5.4.0]undec-7-ene","C9 H16 N2",152.13142,153.1387,10.615,"mz_cloud",694181.561420695,"kasane (recreational) surface water"
6759,"1,8-Diazabicyclo [5.4.0]undec-7-ene","C9 H16 N2",152.13142,153.1387,10.615,"mz_cloud",141539.081396733,"maun beach (before) surface water"
734,"1-(1,3,3-Trimethyl-2,3-dihydro-1H-indol-2-yliden)acetone","C14 H17 N O",215.1311,216.13838,10.807,"mz_cloud",11259069.2669038,"maun wwtp (main) waste water"
734,"1-(1,3,3-Trimethyl-2,3-dihydro-1H-indol-2-yliden)acetone","C14 H17 N O",215.1311,216.13838,10.807,"mz_cloud",1442613.57617896,"glen valley (recreational) surface water"
3014,"1-(2,3-Dichlorophenyl)piperazine","C10 H12 Cl2 N2",230.03738,231.04465,15.673,"mz_cloud",3166072.54843997,"francistown wwtp surface water"
6675,"1-(2,6-Dichlorophenyl)-2-indolinone","C14 H9 Cl2 N O",277.00615,278.01343,17.509,"mz_cloud",421689.08399183,"palapye wwtp surface water"
6675,"1-(2,6-Dichlorophenyl)-2-indolinone","C14 H9 Cl2 N O",277.00615,278.01343,17.509,"mz_cloud",1179773.08930813,"francistown wwtp surface water"
4285,"1-(2,7-Dimethylpyrazolo[1,5-a]pyrimidin-6-yl)ethan-1-one","C10 H11 N3 O",189.09027,190.09754,8.845,"mz_cloud",257466.724287248,"palapye wwtp (eff) waste water"
4892,"1-(2,7-Dimethylpyrazolo[1,5-a]pyrimidin-6-yl)ethan-1-one","C10 H11 N3 O",189.09028,190.09755,9.018,"mz_cloud",1884476.15336187,"palapye wwtp surface water"
4285,"1-(2,7-Dimethylpyrazolo[1,5-a]pyrimidin-6-yl)ethan-1-one","C10 H11 N3 O",189.09027,190.09754,8.845,"mz_cloud",2199597.55653128,"francistown wwtp surface water"
4285,"1-(2,7-Dimethylpyrazolo[1,5-a]pyrimidin-6-yl)ethan-1-one","C10 H11 N3 O",189.09027,190.09754,8.845,"mz_cloud",536384.463912308,"kasane wwtp (main) surface water"
4285,"1-(2,7-Dimethylpyrazolo[1,5-a]pyrimidin-6-yl)ethan-1-one","C10 H11 N3 O",189.09027,190.09754,8.845,"mz_cloud",1742356.52841759,"glen valley (reclamation) surface water"
2354,"1-(2-methoxy-4-nitrophenyl)pyrrolidine","C11 H14 N2 O3",222.10054,223.10781,5.844,"mz_cloud",2643372.23049839,"kasane wwtp (overflow) surface water"
2354,"1-(2-methoxy-4-nitrophenyl)pyrrolidine","C11 H14 N2 O3",222.10054,223.10781,5.844,"mz_cloud",2999041.36318529,"maun wwtp (main) waste water"
7465,"1-(3-Trifluoromethylphenyl)piperazine","C11 H13 F3 N2",230.10322,231.1105,6.688,"mz_cloud",929123.598491032,"glen valley (recreational) surface water"
8464,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one","C10 H10 O5",210.05283,211.06011,1.276,"mz_cloud",333857.315624605,"kasane (main) surface water"
8464,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one","C10 H10 O5",210.05283,211.06011,1.276,"mz_cloud",629508.694866583,"kasane (recreational) surface water"
8464,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one","C10 H10 O5",210.05283,211.06011,1.276,"mz_cloud",167652.070992511,"glen valley (reclamation) surface water"
8757,"1-(3-ethyl-2,4-dihydroxy-6-methoxyphenyl)butan-1-one","C13 H18 O4",238.12059,239.12787,16.783,"mz_cloud",376985.859095436,"kasane wwtp (main) surface water"
3361,"1-(4-benzylpiperazino)-2-(pyridin-2-ylamino)propan-1-one","C19 H24 N4 O",324.19375,325.20104,17.507,"mz_cloud",254075.725943106,"lecheng stream surface water"
3361,"1-(4-benzylpiperazino)-2-(pyridin-2-ylamino)propan-1-one","C19 H24 N4 O",324.19375,325.20104,17.507,"mz_cloud",729911.961988014,"lotsane dam surface water"
3361,"1-(4-benzylpiperazino)-2-(pyridin-2-ylamino)propan-1-one","C19 H24 N4 O",324.19375,325.20104,17.507,"mz_cloud",692356.074411235,"kasane (main) surface water"
3361,"1-(4-benzylpiperazino)-2-(pyridin-2-ylamino)propan-1-one","C19 H24 N4 O",324.19375,325.20104,17.507,"mz_cloud",195076.799995258,"kasane (recreational) surface water"
3361,"1-(4-benzylpiperazino)-2-(pyridin-2-ylamino)propan-1-one","C19 H24 N4 O",324.19375,325.20104,17.507,"mz_cloud",1156371.73091306,"maun wwtp (main) waste water"
